,VALUE,SMILES,MolWt
70,-6.0,C[1]:C[2]:CH:CH:CH:C:@1C[10]:C(:CH:CH:CH:CH:@10)C:@1:CH:CH:CH:@2,-1.0
71,-6.74,C[1]:C(:C[3]:C(:C[5]:C:@1:CH:CH:CH:CH:@5):CH:CH:CH:CH:@3):CH:CH:CH:CH:@1,-1.0
72,-8.06,C[1]:C(:C[3]:C(:CH:CH:@1):CH:CH:CH:CH:@3):CH:CH:C[21]:C:@1:CH:CH:CH:CH:@21,-1.0
73,-8.6,C[1]:C(:CH:C[5]:C(:CH:@1):CH:CH:CH:CH:@5):CH:C[19]:C(:CH:@1):CH:CH:CH:CH:@19,-1.0
74,-6.35,C[1]:C(:CH:C[5]:C(:CH:@1):CH:CH:CH:CH:@5):CH:CH:CH:CH:@1,-1.0
75,-3.6,C[1]:C(:CH:CH:CH:CH:@1):CH:CH:CH:CH:@1,-1.0
76,-4.48,C[1](CH2CH(CH2CH2@1)CH3)(CH3)CH3,-1.0
77,-7.11,C[1](:CH:CH:C(:CH:CH:@1)C[11]:CH:CH:CH:CH:CH:@11)C[22]:CH:CH:CH:CH:CH:@22,-1.0
78,-4.31,C[1](:CH:CH:CH:CH:CH:@1)C[12]:CH:CH:CH:CH:CH:@12,-1.0
79,-2.82,C[1](:CH:CH:CH:CH:CH:@1)CH=CH2,-1.0
80,-6.68,C[1]H2C[4]:C[5]:C(:CH:CH:C:@4C[12]:C@1:CH:CH:CH:CH:@12):CH:CH:CH:CH:@5,-1.0
81,-8.04,C[1]H2C[4]:C(:CH:C[8]:C(:CH:@4):CH:CH:CH:CH:@8)C[20]:C@1:CH:CH:CH:CH:@20,-1.0
82,-5.22,C[1]H2C[4]:C(:CH:CH:CH:C:@4CH3)C[17]:C@1:CH:CH:CH:CH:@17,-1.0
83,-4.91,C[1]H2C[4]:C(:CH:CH:CH:CH:@4)C[14]:C@1:CH:CH:CH:CH:@14,-1.0
84,-5.96,C[1]H2CH2C[7]:C[8]:C[9]:C(:CH:CH:C:@8CH2@1)CH2CH2CH2C:@9:CH:CH:@7,-1.0
85,-7.92,C[1]H2CH2C[7]:C[8]:C(:CH:C[12]:C[13]:C(:CH:C(:CH:CH:@13)CH3):CH:CH:C:@12:C@1:@8):CH:CH:CH:@7,-1.0
86,-7.92,C[1]H2CH2C[7]:C[8]:C(:CH:C[12]:C[13]:C(:CH:CH:C:@12:C@1:@8):CH:CH:CH:CH:@13):CH:CH:C:@7CH3,-1.0
87,-7.85,C[1]H2CH2C[7]:C[8]:C(:CH:C[12]:C[13]:C(:CH:CH:C:@12:C@1:@8):CH:CH:CH:CH:@13):CH:CH:CH:@7,-1.0
88,-4.63,C[1]H2CH2C[7]:C[8]:C(:CH:CH:CH:C@1:@8):CH:CH:CH:@7,-1.0
89,-3.04,C[1]H2CH2C[7]:C(:CH:CH:CH:CH:@7)CH2@1,-1.0
90,-4.37,C[1]H2CH2CH2C[10]:C(:CH:CH:CH:CH:@10)CH2@1,-1.0
91,-2.64,C[1]H2CH2CH2CH2CH2@1,-1.0
92,-3.1,C[1]H2CH2CH2CH2CH2CH2@1,-1.0
93,-3.52,C[1]H2CH2CH2CH2CH2CH2CH2@1,-1.0
94,-4.15,C[1]H2CH2CH2CH2CH2CH2CH2CH2@1,-1.0
95,-3.27,C[1]H2CH2CH2CH=C(CH2@1)CH3,-1.0
96,-2.59,C[1]H2CH2CH2CH=CHCH2@1,-1.0
97,-3.18,C[1]H2CH2CH2CH=CHCH2CH2@1,-1.0
98,-2.1,C[1]H2CH2CH=CHCH2@1,-1.0
99,-1.97,C[1]H2CH=CHCH2CH=CH@1,-1.0
100,-2.15,C[1]H2CH=CHCH=CHCH=CH@1,-1.0
101,-6.08,C[1]H(CH2CH2CH2CH2@1)CH2CH2CH2CH2CH3,-1.0
102,-4.74,C[1]H(CH2CH2CH2CH2@1)CH2CH2CH3,-1.0
103,-3.3,C[1]H(CH2CH2CH2CH2@1)CH3,-1.0
104,-4.25,C[1]H(CH2CH2CH2CH2CH2@1)CH2CH3,-1.0
105,-3.85,C[1]H(CH2CH2CH2CH2CH2@1)CH3,-1.0
106,-4.47,C[1]H(CH2CH2CH(CH2CH2@1)CH3)CH3,-1.0
107,-4.0,C[1]H(CH2CH2C(=CHCH2@1)CH3)C(=CH2)CH3,-1.0
108,-5.19,C[1]HCH(CH2CH2CH2CH2@1)CH2CH2CH2CH2@1,-1.0
109,-4.27,C[1]H(CH(CH2CH2CH2CH2@1)CH3)CH3,-1.0
110,-1.64,C[1]H:CH:CH:CH:CH:CH:@1,-1.0
111,-3.96,C[1]:C[2]:CH:CH:CH:C:@1CH=CHC:@1:CH:CH:CH:@2,-1.0
112,-4.15,C(CH2C[5]:CH:CH:CH:CH:CH:@5)(CH3)(CH3)CH3,-1.0
113,-4.36,C(CH2CH2CH3)(CH3)(CH3)CH3,-1.0
114,-5.05,C(CH2CH2CH(CH3)CH3)(CH3)(CH3)CH3,-1.0
115,-4.23,C(CH2CH3)(CH2CH3)(CH3)CH3,-1.0
116,-4.15,C(CH2CH3)(CH3)(CH3)C[17]:CH:CH:CH:CH:CH:@17,-1.0
117,-3.55,C(CH2CH3)(CH3)(CH3)CH3,-1.0
118,-4.74,C(CH2CH(CH3)CH3)(CH3)(CH3)CH3,-1.0
119,-3.66,C(CH3)(CH3)(CH3)C[14]:CH:CH:CH:CH:CH:@14,-1.0
120,-4.36,C(CH(CH3)CH3)(CH3)(CH3)CH3,-1.0
121,-4.17,CH2(C[4]:CH:CH:CH:CH:CH:@4)C[15]:CH:CH:CH:CH:CH:@15,-1.0
122,-0.4,CH2=CH2,-1.0
123,-4.62,CH2(CH2C[7]:CH:CH:CH:CH:CH:@7)C[18]:CH:CH:CH:CH:CH:@18,-1.0
124,-3.37,CH2(CH2C[7]:CH:CH:CH:CH:CH:@7)CH3,-1.0
125,-3.03,CH2(CH2C(=CH2)CH3)CH3,-1.0
126,-1.64,CH2(CH2C#CH)CH3,-1.0
127,-4.64,CH2(CH2CH2C[10]:CH:CH:CH:CH:CH:@10)CH2CH3,-1.0
128,-3.01,CH2(CH2CH2C#CH)CH2CH3,-1.0
129,-4.24,CH2(CH2CH2CH2C#CH)CH2CH2CH3,-1.0
130,-8.33,CH2(CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3)CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3,-1.0
131,-8.17,CH2(CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3)CH2CH2CH2CH2CH2CH2CH2CH2CH3,-1.0
132,-8.4,CH2(CH2CH2CH2CH2CH2CH2CH2CH3)CH2CH2CH2CH2CH2CH2CH3,-1.0
133,-7.96,CH2(CH2CH2CH2CH2CH2CH2CH3)CH2CH2CH2CH2CH2CH3,-1.0
134,-5.88,CH2(CH2CH2CH2CH3)CH2CH2CH2CH3,-1.0
135,-5.51,CH2(CH2CH2CH2CH3)CH2CH2CH2CH=CH2,-1.0
136,-5.24,CH2(CH2CH2CH2CH3)CH2CH2CH3,-1.0
137,-5.05,CH2(CH2CH2CH2CH=CH2)CH2CH2CH3,-1.0
138,-5.21,CH2(CH2CH2CH3)CH2CH2C[20]:CH:CH:CH:CH:CH:@20,-1.0
139,-3.66,CH2(CH2CH2CH3)CH2CH2C#CH,-1.0
140,-4.53,CH2(CH2CH2CH3)CH2CH2CH3,-1.0
141,-4.44,CH2(CH2CH2CH3)CH2CH2CH=CH2,-1.0
142,-3.84,CH2(CH2CH2CH3)CH2CH3,-1.0
143,-3.73,CH2(CH2CH2CH=CH2)CH2CH3,-1.0
144,-4.06,CH2(CH2CH3)CH2C[14]:CH:CH:CH:CH:CH:@14,-1.0
145,-2.36,CH2(CH2CH3)CH2C#CH,-1.0
146,-3.18,CH2(CH2CH3)CH2CH3,-1.0
147,-3.23,CH2(CH2CH3)CH2CH=CH2,-1.0
148,-3.82,CH2(CH2CH3)CH2CH=CHCH3,-1.0
149,-2.57,CH2(CH2CH3)CH3,-1.0
150,-2.68,CH2(CH2CH=CH2)CH3,-1.0
151,-2.68,CH2(CH2CH=CH2)CH=CH2,-1.0
152,-4.17,CH2(CH3)C[8]:C[9]:C(:CH:CH:CH:@8):CH:CH:CH:CH:@9,-1.0
153,-3.28,CH2(CH3)C[8]:C(:CH:CH:CH:CH:@8)CH2CH3,-1.0
154,-3.21,CH2(CH3)C[8]:C(:CH:CH:CH:CH:@8)CH3,-1.0
155,-6.89,CH2(CH3)C[8]:CH:C[11]:C(:CH:C[15]:C(:CH:@11):CH:CH:CH:CH:@15):CH:CH:@8,-1.0
156,-4.29,CH2(CH3)C[8]:CH:C[11]:C(:CH:CH:@8):CH:CH:CH:CH:@11,-1.0
157,-3.75,CH2(CH3)C[8]:CH:CH:C(:CH:CH:@8)CH2CH3,-1.0
158,-3.11,CH2(CH3)C[8]:CH:CH:C(:CH:CH:@8)CH3,-1.0
159,-2.77,CH2(CH3)C[8]:CH:CH:CH:CH:CH:@8,-1.0
160,-1.99,CH2(CH3)C#CCH2CH3,-1.0
161,-1.24,CH2(CH3)C#CH,-1.0
162,-2.73,CH2(CH3)C(=CH2)CH3,-1.0
163,-1.94,CH2(CH3)CH3,-1.0
164,-1.94,CH2(CH3)CH=CH2,-1.0
165,-2.54,CH2(CH3)CH=CHCH3,-1.0
166,-2.09,CH2(CH=CH2)CH=CH2,-1.0
167,-7.02,CH3C[5]:C[6]:C[7]:C(:CH:CH:C:@6:C(:C[15]:C:@5:CH:CH:CH:CH:@15)CH3):CH:CH:CH:CH:@7,-1.0
168,-6.57,CH3C[5]:C[6]:C(:C[8]:C(:C[10]:C(:CH:CH:@8):CH:CH:CH:CH:@10):CH:@5):CH:CH:CH:CH:@6,-1.0
169,-7.01,CH3C[5]:C[6]:C(:C[8]:C(:C:@5CH3):CH:CH:CH:CH:@8):CH:CH:C[27]:C:@6:CH:CH:CH:CH:@27,-1.0
170,-6.59,CH3C[5]:C[6]:C(:C[8]:C(:CH:@5):CH:CH:CH:CH:@8):CH:CH:C[24]:C:@6:CH:CH:CH:CH:@24,-1.0
171,-5.85,CH3C[5]:C[6]:C(:C[8]:C(:CH:CH:@6):CH:CH:CH:CH:@8):CH:CH:CH:@5,-1.0
172,-6.57,CH3C[5]:C[6]:C(:C(:C[9]:C:@5:CH:CH:CH:CH:@9)CH3):CH:CH:CH:CH:@6,-1.0
173,-4.92,CH3C[5]:C[6]:C(:C(:CH:CH:@5)CH3):CH:CH:CH:C:@6CH3,-1.0
174,-4.14,CH3C[5]:C[6]:C(:C(:CH:CH:@5)CH3):CH:CH:CH:CH:@6,-1.0
175,-4.74,CH3C[5]:C[6]:C(:C(:CH:CH:CH:@6)CH3):CH:CH:CH:@5,-1.0
176,-5.89,CH3C[5]:C[6]:C(:CH:C[10]:C:@5:CH:CH:CH:CH:@10):CH:CH:CH:CH:@6,-1.0
177,-4.29,CH3C[5]:C[6]:C(:CH:C(:CH:@5)CH3):CH:CH:CH:CH:@6,-1.0
178,-3.7,CH3C[5]:C[6]:C(:CH:CH:CH:@5):CH:CH:CH:CH:@6,-1.0
179,-5.23,CH3C[5]:C(:C(:C(:C(:C:@5CH3)CH3)CH3)CH3)CH3,-1.0
180,-4.0,CH3C[5]:C(:C(:CH:C(:C:@5CH3)CH3)CH3)CH3,-1.0
181,-4.72,CH3C[5]:C(:CH:C[9]:C(:CH:@5):CH:CH:CH:CH:@9)CH3,-1.0
182,-4.59,CH3C[5]:C(:CH:C(:C(:CH:@5)CH3)CH3)CH3,-1.0
183,-3.31,CH3C[5]:C(:CH:CH:C(:CH:@5)CH3)CH3,-1.0
184,-3.2,CH3C[5]:C(:CH:CH:CH:C:@5CH3)CH3,-1.0
185,-2.8,CH3C[5]:C(:CH:CH:CH:CH:@5)CH3,-1.0
186,-5.84,CH3C[5]:CH:C[8]:C(:C[10]:C(:CH:CH:@8):CH:CH:CH:CH:@10):CH:CH:@5,-1.0
187,-6.96,CH3C[5]:CH:C[8]:C(:CH:C[12]:C(:CH:@8):CH:CH:CH:CH:@12):CH:CH:@5,-1.0
188,-4.89,CH3C[5]:CH:C[8]:C(:CH:C(:CH:CH:@8)CH3):CH:CH:@5,-1.0
189,-3.77,CH3C[5]:CH:C[8]:C(:CH:CH:@5):CH:CH:CH:CH:@8,-1.0
190,-3.4,CH3C[5]:CH:C(:CH:C(:CH:@5)CH3)CH3,-1.0
191,-2.82,CH3C[5]:CH:C(:CH:CH:CH:@5)CH3,-1.0
192,-4.62,CH3C[5]:CH:CH:C(:CH:CH:@5)C[15]:CH:CH:CH:CH:CH:@15,-1.0
193,-2.77,CH3C[5]:CH:CH:C(:CH:CH:@5)CH3,-1.0
194,-2.21,CH3C[5]:CH:CH:CH:CH:CH:@5,-1.0
195,-0.41,CH3C#CH,-1.0
196,-2.4,CH3C(=CH2)C(=CH2)CH3,-1.0
197,-2.33,CH3C(=CH2)CH3,-1.0
198,-2.03,CH3C(=CH2)CH=CH2,-1.0
199,-2.56,CH3C(=CHCH3)CH3,-1.0
200,-1.36,CH3CH3,-1.0
201,-1.08,CH3CH=CH2,-1.0
202,-0.9,CH4,-1.0
203,0.29,CH#CH,-1.0
204,-4.12,CH(CH2C[6]:CH:CH:CH:CH:CH:@6)(CH3)CH3,-1.0
205,-5.08,CH(CH2CH2CH2CH2CH3)(CH3)CH3,-1.0
206,-5.16,CH(CH2CH2CH2CH3)(CH2CH3)CH3,-1.0
207,-3.74,CH(CH2CH2CH3)(CH3)CH3,-1.0
208,-3.68,CH(CH2CH3)(CH2CH3)CH3,-1.0
209,-3.89,CH(CH2CH3)(CH3)C[14]:CH:CH:CH:CH:CH:@14,-1.0
210,-3.18,CH(CH2CH3)(CH3)CH3,-1.0
211,-1.87,CH(=CH2)CH=CH2,-1.0
212,-3.24,CH(CH2CH=CH2)(CH3)CH3,-1.0
213,-4.26,CH(CH2CH(CH3)CH3)(CH3)CH3,-1.0
214,-3.76,CH(CH3)(CH3)C[11]:C(:CH:CH:CH:CH:@11)CH3,-1.0
215,-3.77,CH(CH3)(CH3)C[11]:CH:CH:C(:CH:CH:@11)CH3,-1.0
216,-3.27,CH(CH3)(CH3)C[11]:CH:CH:CH:CH:CH:@11,-1.0
217,-2.55,CH(CH3)(CH3)CH3,-1.0
218,-2.73,CH(CH3)(CH3)CH=CH2,-1.0
219,-4.28,CH(CH(CH3)CH3)(CH2CH3)CH3,-1.0
220,-3.65,CH(CH(CH3)CH3)(CH3)CH3,-1.0
221,-4.8,CH(CH(CH3)CH3)(CH(CH3)CH3)CH3,-1.0
222,-5.26,ClC[2]C[3](C[4](C[5](C(C@2(C@4(Cl)Cl)Cl)(C@2(C(C@3@5Cl)=O)Cl)Cl)Cl)Cl)Cl,-1.0
223,-6.8,ClC[2]C[3](C[4](C[5](C(C@2(C(C@3@5Cl)(Cl)Cl)Cl)(C@2(C@4(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-1.0
224,-4.61,ClC[2]:C[3]:C(:C(:CH:C:@2OCH3)OCH3)C(C[20](O@3)CH(CH2C(CH=C@20OCH3)=O)CH3)=O,-1.0
225,-2.88,ClC[2]:C[3]:C(:C(:CH:CH:@2)OH)C(C[13]=C(C[15](CH(CH2CH@13C@3(OH)CH3)CH(C(=C(C@15=O)C(=O)NH2)OH)N(CH3)CH3)OH)OH)=O,-1.0
226,-2.52,ClC[2]:C[3]:C(:C(:CH:CH:@2)OH)C(C[13]=C(C[15](CH(CH2CH@13CH@3OH)CH(C(=C(C@15=O)C(=O)NH2)OH)N(CH3)CH3)OH)OH)=O,-1.0
227,-3.93,ClC[2]:C[3]:C(:CH:CH:CH:@2):CH:CH:CH:CH:@3,-1.0
228,-2.61,ClC[2]:C[3]:C(:CH:CH:CH:@2)SC(N@3CH2C(=O)OH)=O,-1.0
229,-6.29,ClC[2]C[3]HC[5]HC[7]HOCH@7CH(CH@3C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)CH2@5,-1.0
230,-6.29,ClC[2]C[3]HC[5]HOCH@5CH(CH@3C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)Cl,-1.0
231,-7.33,ClC[2]C[3]HCH(C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)C[16]HCH2CH@3CH=CH@16,-1.0
232,-6.86,ClC[2]C[3]HCH(C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)CH2CH(CH@3Cl)Cl,-1.0
233,-5.64,ClC[2]C[3]HCH(C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)CH=CHCH2@3,-1.0
234,-6.32,ClC[2]C[3]HCH(C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)CH=CHCH@3Cl,-1.0
235,-5.46,ClC[2]C[3]HCH(C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)CH=CHCH@3OH,-1.0
236,-5.43,ClC[2]:C[3]:N:CH:CH:N:C:@3:C(:C(:C:@2Cl)Cl)Cl,-1.0
237,-4.98,ClC[2]=C(CH=C(C[7]=NSN=C@2@7)Cl)Cl,-1.0
238,-11.62,ClC[2]:C(:C(:C(:C(:C:@2Cl)Cl)C[10]:C(:C(:C(:C(:C:@10Cl)Cl)Cl)Cl)Cl)Cl)Cl,-1.0
239,-10.26,ClC[2]:C(:C(:C(:C(:C:@2Cl)Cl)C[10]:C(:C(:C(:C(:CH:@10)Cl)Cl)Cl)Cl)Cl)Cl,-1.0
240,-10.41,ClC[2]:C(:C(:C(:C(:C:@2Cl)Cl)C[10]:C(:C(:CH:C(:C:@10Cl)Cl)Cl)Cl)Cl)Cl,-1.0
241,-7.92,ClC[2]:C(:C(:C(:C(:C:@2Cl)Cl)C[10]:C(:CH:C(:CH:CH:@10)Cl)Cl)Cl)Cl,-1.0
242,-8.94,ClC[2]:C(:C(:C(:C(:C:@2Cl)Cl)C[10]:C(:CH:CH:C(:CH:@10)Cl)Cl)Cl)Cl,-1.0
243,-7.92,ClC[2]:C(:C(:C(:C(:C:@2Cl)Cl)C[10]:CH:CH:CH:CH:CH:@10)Cl)Cl,-1.0
244,-4.28,ClC[2]:C(:C(:C(:C(:C:@2Cl)Cl)OH)Cl)Cl,-1.0
245,-5.64,ClC[2]:C(:C(:C(:C(:C:@2Cl)C#N)Cl)C#N)Cl,-1.0
246,-4.02,ClC[2]:C(:C(:C(:C(:C:@2Cl)OCH3)OH)Cl)Cl,-1.0
247,-8.3,ClC[2]:C(:C(:C(:CH:C:@2Cl)Cl)C[11]:C(:C(:C(:CH:CH:@11)Cl)Cl)Cl)Cl,-1.0
248,-7.92,ClC[2]:C(:C(:C(:CH:C:@2Cl)Cl)C[11]:C(:CH:C(:C(:CH:@11)Cl)Cl)Cl)Cl,-1.0
249,-7.43,ClC[2]:C(:C(:C(:CH:C:@2Cl)Cl)C[11]:C(:CH:CH:CH:CH:@11)Cl)Cl,-1.0
250,-7.66,ClC[2]:C(:C(:C(:CH:C:@2Cl)Cl)C[11]:CH:C(:C(:CH:CH:@11)Cl)Cl)Cl,-1.0
251,-3.1,ClC[2]:C(:C(:C(:CH:C:@2Cl)Cl)OH)Cl,-1.0
252,-1.7,ClC[2]:C(:C(:C(:CH:CH:@2)Cl)C(=O)OH)OCH3,-1.0
253,-9.16,ClC[2]:C(:C(:CH:C(:C:@2Cl)C[10]:C(:C(:C(:C(:CH:@10)Cl)Cl)Cl)Cl)Cl)Cl,-1.0
254,-8.42,ClC[2]:C(:C(:CH:C(:C:@2Cl)C[10]:C(:C(:CH:CH:CH:@10)Cl)Cl)Cl)Cl,-1.0
255,-7.39,ClC[2]:C(:C(:CH:C(:C:@2Cl)C[10]:C(:CH:C(:CH:CH:@10)Cl)Cl)Cl)Cl,-1.0
256,-7.68,ClC[2]:C(:C(:CH:C(:C:@2Cl)C[10]:C(:CH:CH:C(:CH:@10)Cl)Cl)Cl)Cl,-1.0
257,-7.21,ClC[2]:C(:C(:CH:C(:C:@2Cl)C[10]:C(:CH:CH:CH:CH:@10)Cl)Cl)Cl,-1.0
258,-7.82,ClC[2]:C(:C(:CH:C(:C:@2Cl)C[10]:CH:C(:C(:CH:CH:@10)Cl)Cl)Cl)Cl,-1.0
259,-7.16,ClC[2]:C(:C(:CH:C(:C:@2Cl)C[10]:CH:CH:CH:CH:CH:@10)Cl)Cl,-1.0
260,-5.65,ClC[2]:C(:C(:CH:C(:C:@2Cl)Cl)Cl)Cl,-1.0
261,-3.15,ClC[2]:C(:C(:CH:C(:C:@2Cl)OH)Cl)Cl,-1.0
262,-8.71,ClC[2]:C(:C(:CH:C(:CH:@2)Cl)Cl)C[12]:C(:CH:C(:CH:C:@12Cl)Cl)Cl,-1.0
263,-7.32,ClC[2]:C(:C(:CH:C(:CH:@2)Cl)Cl)C[12]:C(:CH:CH:CH:C:@12Cl)Cl,-1.0
